method,depth,error_train,error_test
entropy,1,0.1192,0.1248
entropy,2,0.106,0.1114
entropy,3,0.1006,0.108
entropy,4,0.08,0.1266
entropy,5,0.0624,0.1426
entropy,6,0.0482,0.151
entropy,7,0.0376,0.1612
entropy,8,0.0304,0.1676
entropy,9,0.0246,0.1746
entropy,10,0.0226,0.1804
entropy,11,0.0236,0.1832
entropy,12,0.025,0.1876
entropy,13,0.032,0.1928
entropy,14,0.0358,0.1942
entropy,15,0.0358,0.1942
entropy,16,0.0358,0.1942
majority_error,1,0.1088,0.1166
majority_error,2,0.1042,0.1088
majority_error,3,0.0964,0.115
majority_error,4,0.0786,0.131
majority_error,5,0.0648,0.1526
majority_error,6,0.055,0.1652
majority_error,7,0.044,0.1836
majority_error,8,0.0368,0.1944
majority_error,9,0.0302,0.2076
majority_error,10,0.0252,0.2172
majority_error,11,0.0234,0.2204
majority_error,12,0.0238,0.227
majority_error,13,0.0284,0.23
majority_error,14,0.0318,0.2312
majority_error,15,0.035,0.2338
majority_error,16,0.035,0.2338
gini_index,1,0.1088,0.1166
gini_index,2,0.1042,0.1088
gini_index,3,0.0936,0.1156
gini_index,4,0.0754,0.132
gini_index,5,0.0606,0.15
gini_index,6,0.0488,0.1636
gini_index,7,0.0374,0.174
gini_index,8,0.028,0.1782
gini_index,9,0.0232,0.1856
gini_index,10,0.0212,0.1898
gini_index,11,0.0224,0.1952
gini_index,12,0.0256,0.1964
gini_index,13,0.0328,0.202
gini_index,14,0.035,0.2028
gini_index,15,0.035,0.2028
gini_index,16,0.035,0.2028
