method,depth,error_train,error_test
entropy,1,0.302,0.2967032967032967
entropy,2,0.222,0.22252747252747251
entropy,3,0.181,0.19642857142857142
entropy,4,0.082,0.14697802197802198
entropy,5,0.027,0.1043956043956044
entropy,6,0.0,0.125
majority_error,1,0.302,0.2967032967032967
majority_error,2,0.301,0.3159340659340659
majority_error,3,0.231,0.24725274725274726
majority_error,4,0.11,0.2032967032967033
majority_error,5,0.034,0.1510989010989011
majority_error,6,0.0,0.17307692307692307
gini_index,1,0.302,0.2967032967032967
gini_index,2,0.222,0.22252747252747251
gini_index,3,0.176,0.18406593406593408
gini_index,4,0.089,0.13324175824175824
gini_index,5,0.027,0.1043956043956044
gini_index,6,0.0,0.125
