method,depth,error_train,error_test
entropy,1,0.1192,0.1248
entropy,2,0.106,0.1114
entropy,3,0.102,0.1102
entropy,4,0.086,0.1278
entropy,5,0.0674,0.141
entropy,6,0.0528,0.1486
entropy,7,0.0406,0.1554
entropy,8,0.0322,0.1618
entropy,9,0.0244,0.1708
entropy,10,0.0226,0.1756
entropy,11,0.0236,0.1832
entropy,12,0.0248,0.1842
entropy,13,0.0304,0.189
entropy,14,0.0336,0.1908
entropy,15,0.0358,0.1914
entropy,16,0.0358,0.1914
majority_error,1,0.1088,0.1166
majority_error,2,0.105,0.1102
majority_error,3,0.0976,0.1154
majority_error,4,0.0858,0.123
majority_error,5,0.0742,0.1352
majority_error,6,0.0624,0.1534
majority_error,7,0.0538,0.1666
majority_error,8,0.046,0.1724
majority_error,9,0.0376,0.1928
majority_error,10,0.0294,0.199
majority_error,11,0.0232,0.2094
majority_error,12,0.0224,0.2142
majority_error,13,0.0272,0.2206
majority_error,14,0.031,0.2242
majority_error,15,0.034,0.2268
majority_error,16,0.035,0.2272
gini_index,1,0.1088,0.1166
gini_index,2,0.1052,0.1104
gini_index,3,0.101,0.1096
gini_index,4,0.0866,0.1274
gini_index,5,0.0696,0.1458
gini_index,6,0.0532,0.1558
gini_index,7,0.0398,0.164
gini_index,8,0.0318,0.1698
gini_index,9,0.025,0.1776
gini_index,10,0.022,0.1822
gini_index,11,0.0214,0.1906
gini_index,12,0.028,0.1938
gini_index,13,0.0304,0.1962
gini_index,14,0.033,0.1974
gini_index,15,0.035,0.198
gini_index,16,0.035,0.198
